"","Date","Year","Month","Dayofweek","Count"
"159",2012-06-07,"2012","06","4",651
"160",2012-06-08,"2012","06","5",673
"161",2012-06-09,"2012","06","6",603
"162",2012-06-10,"2012","06","7",630
"163",2012-06-11,"2012","06","1",664
"164",2012-06-12,"2012","06","2",601
"165",2012-06-13,"2012","06","3",618
"166",2012-06-14,"2012","06","4",660
"167",2012-06-15,"2012","06","5",666
"168",2012-06-16,"2012","06","6",658
"169",2012-06-17,"2012","06","7",614
"170",2012-06-18,"2012","06","1",617
"171",2012-06-19,"2012","06","2",663
"172",2012-06-20,"2012","06","3",692
"173",2012-06-21,"2012","06","4",697
"174",2012-06-22,"2012","06","5",715
"175",2012-06-23,"2012","06","6",647
"176",2012-06-24,"2012","06","7",605
"177",2012-06-25,"2012","06","1",653
"178",2012-06-26,"2012","06","2",604
"179",2012-06-27,"2012","06","3",622
"180",2012-06-28,"2012","06","4",690
"181",2012-06-29,"2012","06","5",701
"182",2012-06-30,"2012","06","6",781
"183",2012-07-01,"2012","07","7",806
"184",2012-07-02,"2012","07","1",600
"185",2012-07-03,"2012","07","2",610
"186",2012-07-04,"2012","07","3",633
"187",2012-07-05,"2012","07","4",660
"188",2012-07-06,"2012","07","5",702
"189",2012-07-07,"2012","07","6",657
"190",2012-07-08,"2012","07","7",607
"191",2012-07-09,"2012","07","1",659
"192",2012-07-10,"2012","07","2",635
"193",2012-07-11,"2012","07","3",664
"194",2012-07-12,"2012","07","4",638
"195",2012-07-13,"2012","07","5",713
"196",2012-07-14,"2012","07","6",616
"197",2012-07-15,"2012","07","7",678
"198",2012-07-16,"2012","07","1",667
"199",2012-07-17,"2012","07","2",672
"200",2012-07-18,"2012","07","3",646
"201",2012-07-19,"2012","07","4",645
"202",2012-07-20,"2012","07","5",623
"203",2012-07-21,"2012","07","6",629
"204",2012-07-22,"2012","07","7",604
"205",2012-07-23,"2012","07","1",639
"206",2012-07-24,"2012","07","2",591
"207",2012-07-25,"2012","07","3",618
"208",2012-07-26,"2012","07","4",633
"209",2012-07-27,"2012","07","5",607
"210",2012-07-28,"2012","07","6",641
"211",2012-07-29,"2012","07","7",651
"212",2012-07-30,"2012","07","1",656
"213",2012-07-31,"2012","07","2",632
"214",2012-08-01,"2012","08","3",685
"215",2012-08-02,"2012","08","4",655
"216",2012-08-03,"2012","08","5",643
"217",2012-08-04,"2012","08","6",813
"218",2012-08-05,"2012","08","7",643
"219",2012-08-06,"2012","08","1",541
"220",2012-08-07,"2012","08","2",632
"221",2012-08-08,"2012","08","3",617
"222",2012-08-09,"2012","08","4",576
"223",2012-08-10,"2012","08","5",647
"224",2012-08-11,"2012","08","6",626
"225",2012-08-12,"2012","08","7",610
"226",2012-08-13,"2012","08","1",623
"227",2012-08-14,"2012","08","2",595
"228",2012-08-15,"2012","08","3",610
"229",2012-08-16,"2012","08","4",631
"230",2012-08-17,"2012","08","5",634
"231",2012-08-18,"2012","08","6",658
"232",2012-08-19,"2012","08","7",684
"233",2012-08-20,"2012","08","1",627
"234",2012-08-21,"2012","08","2",616
"235",2012-08-22,"2012","08","3",622
"236",2012-08-23,"2012","08","4",681
"237",2012-08-24,"2012","08","5",711
"238",2012-08-25,"2012","08","6",696
"239",2012-08-26,"2012","08","7",665
"240",2012-08-27,"2012","08","1",644
"241",2012-08-28,"2012","08","2",677
"242",2012-08-29,"2012","08","3",677
"243",2012-08-30,"2012","08","4",702
"244",2012-08-31,"2012","08","5",752
"245",2012-09-01,"2012","09","6",715
"246",2012-09-02,"2012","09","7",677
"247",2012-09-03,"2012","09","1",639
"248",2012-09-04,"2012","09","2",644
"249",2012-09-05,"2012","09","3",656
"250",2012-09-06,"2012","09","4",645
"251",2012-09-07,"2012","09","5",702
"252",2012-09-08,"2012","09","6",626
"253",2012-09-09,"2012","09","7",606
"254",2012-09-10,"2012","09","1",645
"255",2012-09-11,"2012","09","2",638
"256",2012-09-12,"2012","09","3",639
"257",2012-09-13,"2012","09","4",679
"258",2012-09-14,"2012","09","5",614
"259",2012-09-15,"2012","09","6",622
"260",2012-09-16,"2012","09","7",641
"261",2012-09-17,"2012","09","1",630
"262",2012-09-18,"2012","09","2",586
"263",2012-09-19,"2012","09","3",573
"264",2012-09-20,"2012","09","4",634
"265",2012-09-21,"2012","09","5",658
"266",2012-09-22,"2012","09","6",640
"267",2012-09-23,"2012","09","7",554
"268",2012-09-24,"2012","09","1",605
"269",2012-09-25,"2012","09","2",609
"270",2012-09-26,"2012","09","3",621
"271",2012-09-27,"2012","09","4",605
"272",2012-09-28,"2012","09","5",669
"273",2012-09-29,"2012","09","6",659
"274",2012-09-30,"2012","09","7",655
"275",2012-10-01,"2012","10","1",666
"276",2012-10-02,"2012","10","2",652
"277",2012-10-03,"2012","10","3",610
"278",2012-10-04,"2012","10","4",659
"279",2012-10-05,"2012","10","5",651
